,House Name,Location,ImgURL,Price
599,5 Bed House with En Suite at Loresho,New Modern & Stunning 5 Bedroom House for sale ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/03f20ed1f9436dd615aac4f8c440e268/-/prod-property-core-backend-media-brk/6670009/056bf73b-6579-45aa-9e4d-a6e9dcc3e14d.jpg,"KSh 4,000,000"
600,2 Bed Apartment with En Suite at Race Course,Luxurious 2 & 3 Bedroom Apartments for sale wit ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/da24c022cfacf199d80f823446b6e156/-/prod-property-core-backend-media-brk/6670001/1e99b3cd-c644-4431-9665-05c3ac3b2c13.jpg,"KSh 13,000,000"
601,4 Bed Apartment with En Suite in Kileleshwa,4 BEDROOM APARTMENT FOR SALE IN KILELESHWA WITH ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/6f1834c5764b9935212c46f76034677a/-/prod-property-core-backend-media-brk/6609706/deca9263-41ea-43b8-9797-2ccaa54be541.jpeg,"KSh 11,000,000"
602,3 Bed Apartment with En Suite in Westlands Area,3 Bedroom Apartment In low density complex West ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/b18a1031662fda3e272a28512fcb6027/-/prod-property-core-backend-media-brk/6645808/5371113f-b456-4401-bf1a-983503c7384f.jpeg,"KSh 4,500,000"
603,5 Bed Townhouse with En Suite in Lavington,5 BEDROOM TOWNHOUSE FOR SALE IN LAVINGTON WITH ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/f232434ffedd1f91d4830a7a367fbad3/-/prod-property-core-backend-media-brk/6405079/2cf40e49-8aa7-4017-a301-afeef1b4636c.jpg,"KSh 11,500,000"
604,Land in Loresho,2.6 Acres For Sale In Loresho,https://i.roamcdn.net/prop/brk/listing-thumb-376w/c0d0cd052f92eae5d10e21fba23dea8d/-/prod-property-core-backend-media-brk/5250191/f45549a2-6994-45e9-89b5-83bb4e255d2a.jpeg,"KSh 14,500,000"
605,5 Bed Townhouse with En Suite in Lavington,5 BEDROOM TOWNHOUSE FOR SALE IN LAVINGTON WITH ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/8806952fd30edbaa63387b3316bebfb6/-/prod-property-core-backend-media-brk/6660880/eef663ac-1cf5-4893-b544-d13cf571b717.jpg,"KSh 125,000,000"
606,Studio Apartment with Borehole in Syokimau,"Off Plan Sale of 1,2 and 3 Bedroom apartments I ...",https://i.roamcdn.net/prop/brk/listing-thumb-376w/21a5f1620a0038ceebb17990738b36fa/-/prod-property-core-backend-media-brk/6666952/c75ccc20-c129-430d-8bd2-cffb73e729e8.jpeg,"KSh 12,499,000"
607,4 Bed Apartment with En Suite in Kilimani,4 BEDROOM APARTMENT FOR SALE IN KILIMANI,https://i.roamcdn.net/prop/brk/listing-thumb-376w/f0e5894230b31c66b31fa80bb17b26a2/-/prod-property-core-backend-media-brk/6669761/e6727a9a-643c-4c9b-be45-76157cc51c04.jpg,"KSh 130,000,000"
608,3 Bed Apartment with En Suite in Lavington,3 BEDROOM APARTMENT FOR SALE IN LAVINGTON,https://i.roamcdn.net/prop/brk/listing-thumb-376w/de99e59c167de3843d66cbf26741e336/-/prod-property-core-backend-media-brk/6669728/d20871f7-ff03-49b9-87fb-c6bb317a3b28.jpg,"KSh 75,000,000"
